,Sakalava (Maintirano),Betsimisaraka (Mahanoro),Antankarana (Ambilobe),Mikea (Analamena),Antankarana (Vohemar),Masikoro (Miary),Antankarana (Antalaha),Sakalava (Ambanja),Sakalava (Majunga),Merina (Antananarivo),Sakalava (Morondava),Betsimisaraka (Fenoarivo-Est),Antanosy (Tolagnaro),Antandroy (Ambovombe),Betsileo (Fianarantsoa),Vezo (Toliara),Sihanaka (Ambatondranzaka),Tsimihety (Mandritsara),Mahafaly (Ampanihy),Antambohoaka (Mananjary),Antaisaka (Vangaindrano),Antaimoro (Manakara),Zafisoro (Farafangana),Bara (Betroka)
119,rano mandeha,siragnana,tegnadrano,vavarano,tegnandrano,renirano,tegnarano,taignandrano,renirano,renirano,vavarano,renirano,renirano,renerano,renirano,renirano,renirano,renindrano,ranobey,renirano,renirano,renirano,renirano,renirano
120,lala,lalana,lalabe,lala,lalagna,lala,lalagna,lalagna,lalagna,lalana,lala,lalagna,lala,lalagne,lalana,lala,lalana,lalagna,lala,lalana,lala,lalagna,lalagna,lala
121,vahitry,vahatra,fototry,tototse,vahatra,fototry,vahany,vahatra,fotony,fakana,vahatry,vahiny,vahatsy,fakae,vahakazo,faka,vahitra,vahany,vahane,vahany,vahatry,fakany,vatry,faka
122,taly,tady,tady,hosy,tady,taly,tady,tady,tady,tady,hosy,afotro,taly,taly,tady,taly,tady,tady,taly,tady,tady,tady,tady,tady
123,mavay,lo,montraka,mavay,montraka,mavay,lo,montraka,simba,bobongolo,loha,lo,mavavo,momoke,bobongolo,mavay,masiso,lo,bobongolo,bobongolo,vilavila,lo,mavao,bobongolo
124,mitakosiky,mikosoka,mikosoka,mazaotse,mikosoko,mikasoke,mampikasiky,mandrokotro,mikasoka,manakasoka,mikosiky,mampikasiky,migosa,midraso,manakasoka,mikasoke,manakisina,magnosokosoka,mapikasoke,mampikasika,magnakasoky,kisikisigna,mikosiky,mampisasoky
125,sira,sira,sira,mangovarano,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira,sira
126,fasiky,fasika,jia,tane,jia,fasy,alagnana,fasigny,fasika,fasika,fasy,fasiky,fasy,faseke,fasika,fase,fasika,alagnagna,faseke,fasigna,fasiky,fasiky,fasiky,fasiky
127,mivola,mizaka,mivolagna,mivola,mivolagna,mivola,mivolagna,mivolagna,mivola,milaza,misafa,mivolagna,magnambara,mirehake,milaza,mivola,miteny,mivolagna,mivola,mizaka,mizaka,mizaka,mizaka,miroho
128,mihaotsy,mikiky,magnikihy,magnihe,magnaotro,magnihy,magnisiky,magnikihy,mikiky,mikiky,mikiky,mikiky,mikihy,mikihy,mikiky,manisiky,mikiky,magniky,mikihy,mikiky,mikikitry,mikisigna,mikikitry,mikiky
