ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
antankaranaantalaha-6_backofaperson-1,,antankaranaantalaha,6_backofaperson,tahezagna,tahezagna,t a h e z a g n a,,Serva2011,,,^ t a h e z a g n a $,default
sakalavaambanja-6_backofaperson-1,,sakalavaambanja,6_backofaperson,tahaizagna,tahaizagna,t a h a i z a g n a,,Serva2011,,,^ t a h a i z a g n a $,default
sakalavamajunga-6_backofaperson-1,,sakalavamajunga,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
merinaantananarivo-6_backofaperson-1,,merinaantananarivo,6_backofaperson,lamosina,lamosina,l a m o s i n a,,Serva2011,,,^ l a m o s i n a $,default
sakalavamorondava-6_backofaperson-1,,sakalavamorondava,6_backofaperson,lamosy,lamosy,l a m o s j,,Serva2011,,,^ l a m o s y $,default
betsimisarakafenoarivoest-6_backofaperson-1,,betsimisarakafenoarivoest,6_backofaperson,tahezagna,tahezagna,t a h e z a g n a,,Serva2011,,,^ t a h e z a g n a $,default
antanosytolagnaro-6_backofaperson-1,,antanosytolagnaro,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
antandroyambovombe-6_backofaperson-1,,antandroyambovombe,6_backofaperson,lamosy,lamosy,l a m o s j,,Serva2011,,,^ l a m o s y $,default
betsileofianarantsoa-6_backofaperson-1,,betsileofianarantsoa,6_backofaperson,lamosina,lamosina,l a m o s i n a,,Serva2011,,,^ l a m o s i n a $,default
vezotoliara-6_backofaperson-1,,vezotoliara,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
sihanakaambatondranzaka-6_backofaperson-1,,sihanakaambatondranzaka,6_backofaperson,lakambo,lakambo,l a k a m b o,,Serva2011,,,^ l a k a m b o $,default
tsimihetymandritsara-6_backofaperson-1,,tsimihetymandritsara,6_backofaperson,tahaizagna,tahaizagna,t a h a i z a g n a,,Serva2011,,,^ t a h a i z a g n a $,default
mahafalyampanihy-6_backofaperson-1,,mahafalyampanihy,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
antambohoakamananjary-6_backofaperson-1,,antambohoakamananjary,6_backofaperson,lamosigna,lamosigna,l a m o s i g n a,,Serva2011,,,^ l a m o s i g n a $,default
antaisakavangaindrano-6_backofaperson-1,,antaisakavangaindrano,6_backofaperson,lamosy,lamosy,l a m o s j,,Serva2011,,,^ l a m o s y $,default
antaimoromanakara-6_backofaperson-1,,antaimoromanakara,6_backofaperson,lamosigna,lamosigna,l a m o s i g n a,,Serva2011,,,^ l a m o s i g n a $,default
zafisorofarafangana-6_backofaperson-1,,zafisorofarafangana,6_backofaperson,lamosy,lamosy,l a m o s j,,Serva2011,,,^ l a m o s y $,default
barabetroka-6_backofaperson-1,,barabetroka,6_backofaperson,lambosy,lambosy,l a m b o s j,,Serva2011,,,^ l a m b o s y $,default
sakalavamaintirano-7_bad-1,,sakalavamaintirano,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
betsimisarakamahanoro-7_bad-1,,betsimisarakamahanoro,7_bad,rasy,rasy,r a s j,,Serva2011,,,^ r a s y $,default
antankaranaambilobe-7_bad-1,,antankaranaambilobe,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
mikeaanalamena-7_bad-1,,mikeaanalamena,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
antankaranavohemar-7_bad-1,,antankaranavohemar,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
masikoromiary-7_bad-1,,masikoromiary,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
antankaranaantalaha-7_bad-1,,antankaranaantalaha,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
sakalavaambanja-7_bad-1,,sakalavaambanja,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
sakalavamajunga-7_bad-1,,sakalavamajunga,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
merinaantananarivo-7_bad-1,,merinaantananarivo,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
sakalavamorondava-7_bad-1,,sakalavamorondava,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
betsimisarakafenoarivoest-7_bad-1,,betsimisarakafenoarivoest,7_bad,ratsy,ratsy,r a ts j,,Serva2011,,,^ r a ts y $,default
antanosytolagnaro-7_bad-1,,antanosytolagnaro,7_bad,rasy,rasy,r a s j,,Serva2011,,,^ r a s y $,default
antandroyambovombe-7_bad-1,,antandroyambovombe,7_bad,raty,raty,r a t j,,Serva2011,,,^ r a t y $,default
