Grapheme	IPA	Examples	Languages	Frequence	Codepoints
e$	e	aroe, ranomivongagne	AntandroyAmbovombe, SakalavaAmbanja, AntankaranaAmbilobe, SihanakaAmbatondrazaka	100	U+0065 U+0024
ee$	ee/e	agnatee	AntandroyTsihombe	1	U+0065 U+0065 U+0024
f	f	hafa, mafana	MahafalyAmpanihy, SihanakaAmbatondrazaka, AntandroyAmbovombe, BetsimisarakaAntalaha, MerinaAntananarivo, SakalavaAmbanja, BaraBetroka, AntankaranaAmbilobe, MikeaAmpoakafo	100	U+0066
g	g	magnangy, angofo	SakalavaAmbanja, AntankaranaAmbilobe, SihanakaAmbatondrazaka	100	U+0067
h	h	loha, mahay	AntandroyAmbovombe, SakalavaAmbanja, AntankaranaAmbilobe, SihanakaAmbatondrazaka, MahafalyAmpanihy	100	U+0068
i	i	mitifitry, migiaka	SakalavaAmbanja, SihanakaAmbatondrazaka	100	U+0069
ii	iː/i	miisa, miinana	BetsimisarakaTanambaoManampotsy, SakalavaBeloniTsiribihina, SakalavaMaintirano	5	U+0069 U+0069
j	dz	mijanjy, ranjo	VezoMorombe, AntandroyAmbovombe, AntanalanaItampolo, SakalavaMaintirano, MahafalyAmpanihy, VezoToliara, MikeaAmpoakafo, MasikoroMiary, AntanalanaManorofify, SihanakaAmbatondrazaka, BetsileoAmbositra, SakalavaMorondava, AntankaranaVohemar, AntankaranaAmbilobe, MerinaAntananarivo, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, BetsileoAmbalavao, AntambohoakaMananjary, AntanosyBezaha, TanalaIfanadiana, AntanosyTolagnaro, TsimihetyMandritsara, SakalavaAmbanja, BetsimisarakaMahanoro, BetsimisarakaAntalaha, AntaisakaVangaindrano, SakalavaMahajanga, AntaimoroManakara, ZafisoroFarafangana	100	U+006a
k	k	kakazo, voankazo	SihanakaAmbatondrazaka, SakalavaAmbanja, AntankaranaAmbilobe	100	U+006b
l	l	malalaka, telo	SakalavaAmbanja, AntankaranaAmbilobe, SihanakaAmbatondrazaka, AntandroyAmbovombe	100	U+006c
m	m	mamono, mamaky	MahafalyAmpanihy, AntandroyAmbovombe, SihanakaAmbatondrazaka, AntankaranaAmbilobe, SakalavaAmbanja, MikeaAmpoakafo	100	U+006d
n	n	tegnandrano, mandry	SakalavaAmbanja	100	U+006e
nn	nn/n	miaraka aminny, mitinndry	BetsimisarakaMarolambo, VezoMorombe	2	U+006e U+006e
ns	n s	menso, ansena	BetsimisarakaMarolambo, BetsimisarakaSahavato, AntanosyTolagnaro, BetsimisarakaTanambaoManampotsy, AntanosyBezaha	9	U+006e U+0073
o	o	volomborona, volomborogno	SakalavaAmbanja, SihanakaAmbatondrazaka	100	U+006f
o$	o	eto, maloto	SakalavaAmbanja, SihanakaAmbatondrazaka, AntankaranaAmbilobe	100	U+006f U+0024
oo$	oo/o	tamboo	BetsimisarakaBrickaville	1	U+006f U+006f U+0024
p	p	mipetraka, ampela	VezoToliara, MahafalyAmpanihy, SihanakaAmbatondrazaka, SakalavaMorondava, SakalavaAmbanja, AntankaranaVohemar, MikeaAmpoakafo, AntaimoroManakara, AntankaranaAmbilobe, MasikoroMiary, BaraBetroka, SakalavaMahajanga, BetsimisarakaMahanoro, AntaisakaVangaindrano, AntambohoakaMananjary, AntanosyTolagnaro, TsimihetyMandritsara, ZafisoroFarafangana, BetsimisarakaAntalaha, BetsimisarakaFenoarivo-Est, BetsileoFianarantsoa, BetsileoAmbalavao, AntandroyAmbovombe, SakalavaMaintirano, MerinaAntananarivo, BetsileoAmbositra, AntanalanaItampolo	100	U+0070
r	r	tratra, mieritreritra	SakalavaAmbanja, SihanakaAmbatondrazaka	100	U+0072
s	s	manasa, maso	SihanakaAmbatondrazaka, MikeaAmpoakafo, MahafalyAmpanihy, AntandroyAmbovombe, BetsimisarakaAntalaha, AntankaranaAmbilobe, SakalavaAmbanja, MerinaAntananarivo	100	U+0073
t	t	mitifitry, mamatotra	SihanakaAmbatondrazaka, SakalavaAmbanja, AntankaranaAmbilobe	100	U+0074
ts	ts	maitso, manintsy	AntandroyAmbovombe, MikeaAmpoakafo, MahafalyAmpanihy, SihanakaAmbatondrazaka, AntankaranaAmbilobe, SakalavaAmbanja, BetsimisarakaAntalaha	100	U+0074 U+0073
v	v	lava, ankavia	SihanakaAmbatondrazaka, AntankaranaAmbilobe, AntandroyAmbovombe, SakalavaAmbanja, MahafalyAmpanihy	100	U+0076
y	y/i	mitomboky mesa, mitomboky meso	SihanakaAmbatondrazaka, AntankaranaVohemar, BetsimisarakaAntalaha, AntanosyTolagnaro, MasikoroMiary, ZafisoroFarafangana, NosyBorahaAmbodifotatra, BetsimisarakaTanambaoManampotsy, TsimihetyAntsohihy, AntaisakaVangaindrano, AntanosyBelamoty, AntambohoakaMananjary, AntanosyBezaha, BaraBetroka, BaraRanohira, BaraBeroroha, VezoMorondava, SakalavaMahajanga, BetsimisarakaMananara, SihanakaMoraranoChrome, MahafalyAmpanihy, TanalaIfanadiana, BaraIhosy, AntanalanaItampolo, SakalavaMaintirano, TsimihetyMandritsara, SakalavaMiandrivazo, SakalavaMorondava, AntankaranaAmbilobe, BetsimisarakaMaroantsetra, SakalavaAmbanja, MerinaAntananarivo	38	U+0079
y$	y/i	vady, mandry	SakalavaAmbanja, SihanakaAmbatondrazaka	100	U+0079 U+0024
z	z	izy, voankazo	MerinaAntananarivo, SihanakaAmbatondrazaka, BetsimisarakaAntalaha, AntankaranaAmbilobe, ZafisoroFarafangana, SakalavaAmbanja, BaraBetroka, BetsimisarakaFenoarivo-Est, MikeaAmpoakafo, AntandroyAmbovombe, MahafalyAmpanihy	100	U+007a
